raw_data,packet_len,ad_cnt,ad_len,ad_type,label,classic_bluetooth,manufacturer_or_service
02011a020a070cff4c001007301bafb5451e21,38,3,"[2, 2, 12]","['01', '0a', 'ff']",tracker,yes,1
02011a1bff4c000c0e00c673c3bc1ee30c4be9fc92fb1b10063b1d2ff6f328,62,2,"[2, 27]","['01', 'ff']",non_tracker,yes,1
0201061bff2909c81c3a102233d584fc42337754dba1001ddf006f597083340909552d424c444f5800,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201061bff2909c81c44102233d584fc42337754c5bb3beb1fb41c03dfd7a40909552d424c444f5815,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0b16eefd0503000603470209,24,1,[11],['16'],tracker,unknown,1
02011a1bff8f031601148c42e4e45f00000005a46e46c76b740102030405060dff2717080302505e6e6bc74640,90,3,"[2, 27, 13]","['01', 'ff', 'ff']",non_tracker,yes,1
0201060303edfe0d16edfe020002d22ee00eb1bb63050954696c29,54,4,"[2, 3, 13, 5]","['01', '03', '16', '09']",tracker,no,1
02811f0319c0000aff750001000200010202180947616c6178792057617463683320283632423029204c88,86,4,"[2, 3, 10, 24]","['81', '19', 'ff', '09']",non_tracker,unknown,1
0201061bff2909c81c42102233d584fc42337754db51f6404e3546cb723d180909552d424c444f5859,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201061bff2909c81c03102233d584fc42337754708032dbb451048af742050909552d424c444f5802,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201061bff2909c81c1a102233d584fc42337754da9ea0e6d2601a72ce73b30909552d424c444f5816,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
1eff4c00121910000908a43dc523a0f2d037a0708e4e76f9e1f63e9fec03e9,62,1,[30],['ff'],tracker,unknown,1
181644fd10ff9fcfdc54f3ac01000000000000000000000000,50,1,[24],['16'],tracker,unknown,1
0201061bff2909c81c26102233d584fc423377540998a7b9675ce6f8edff120909552d424c444f5882,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
07ff4c0012022460,16,1,[7],['ff'],tracker,unknown,1
0b16eefd0503000603030271,24,1,[11],['16'],tracker,unknown,1
0201061bff2909c81c48102233d584fc42337754027610c7ff2c147b66206a0909552d424c444f5859,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201060f1695fe305a4225005bfff438c1a4080b094c5957534430324d4d430b094c5957534430324d4d21,86,4,"[2, 15, 11, 11]","['01', '16', '09', '09']",non_tracker,no,1
02011a1bff8f031601148c42e4e45f00000005a46e46c76b790102030405060dff2717080302505e6e6bc74698,90,3,"[2, 27, 13]","['01', 'ff', 'ff']",non_tracker,yes,1
0201061bff2909c81c36102233d584fc4233775412fa028c64c1109c92f1170909552d424c444f5859,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201061bff2909c81c47102233d584fc42337754157db660aa52a1c36e25b30909552d424c444f5892,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
1eff4c00121920d69bdce70a69be2c5cf0a8a8093735fda017cd5821f9020c0a0b4d4f4d415820425235,84,2,"[30, 10]","['ff', '0b']",tracker,unknown,1
1eff4c001219206716ea0488dbdbd398c24ee22b599482bb24644afce502a30a0b4d4f4d415820425263,84,2,"[30, 10]","['ff', '0b']",tracker,unknown,1
0201061bff2909c81c29102233d584fc42337754512fbfc824e8638d673b080909552d424c444f5843,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
02011a020a070cff4c001007361f7406867042,38,3,"[2, 2, 12]","['01', '0a', 'ff']",non_tracker,yes,1
1eff060001092002f0c8bf4eec9935e7b80dadf7162f42b1fa0aa267fbc6d6,62,1,[30],['ff'],non_tracker,unknown,1
02011a020a070cff4c001007301bafb5451e68,38,3,"[2, 2, 12]","['01', '0a', 'ff']",tracker,yes,1
1eff4c00121910000908a43dc523a0f2d037a0708e4e76f9e1e8fe1fa23186,62,1,[30],['ff'],tracker,unknown,1
1eff4c00121910000908a43dc523a0f2d037a0708e4e76f9e1e8fe1fa23188,62,1,[30],['ff'],tracker,unknown,1
